Issue Type,Patch Info,Key,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,,PDFBOX-2942,Can't sign particular PDF,Unassigned,Diego Rodrigues Azevedo,Major,Closed,Not A Problem,8/21/2015 19:38,8/25/2015 15:12,
Improvement,,PDFBOX-2943,PDType3Font.getWidthFromFont not supported,John Hewson,Timur Kamalov,Minor,Closed,Fixed,8/24/2015 10:11,3/17/2016 19:08,
Bug,,PDFBOX-2944,"false negative on pdf/a validation: 1.0.14 : Syntax error, Object {16:0} has an offset of 0 ?",Unassigned,Ralf Hauser,Major,Closed,Not A Problem,8/25/2015 14:49,9/9/2015 16:02,
Improvement,,PDFBOX-2945,PDType1Font.getNameInFont(String) very slow when Unicode fallback is used,Tilman Hausherr,Philip Helger,Major,Closed,Fixed,8/25/2015 16:28,3/17/2016 19:08,
Bug,,PDFBOX-2946,Symbol glyphs not aligned,Tilman Hausherr,Tilman Hausherr,Major,Closed,Fixed,8/25/2015 18:41,3/17/2016 19:07,
Bug,,PDFBOX-2947,latest pdfbox-app-2.0.0-20150826.013253-1615 not support old functionalities.,Unassigned,Gayan Wijenayaka,Major,Closed,Invalid,8/26/2015 11:09,8/27/2015 20:27,
Bug,,PDFBOX-2948,NPE in PDStream.createInputStream,Timo Boehme,Timo Boehme,Major,Closed,Fixed,8/27/2015 13:27,3/17/2016 19:07,
Bug,,PDFBOX-2949,Rendering to ARGB brings black background,John Hewson,Tilman Hausherr,Major,Closed,Fixed,8/28/2015 17:51,3/17/2016 19:08,
Bug,,PDFBOX-2950,Chinese font substitution issue,John Hewson,WuYu,Major,Closed,Fixed,8/29/2015 9:51,3/17/2016 19:07,
Bug,,PDFBOX-2951,quotedbl causes NullPointerException,John Hewson,Juergen Uhl,Major,Closed,Fixed,9/1/2015 10:53,3/17/2016 19:07,
Improvement,,PDFBOX-2952,Log statement on level 'severe' while nothing else indicates error,Tilman Hausherr,Are Husby,Major,Closed,Fixed,9/1/2015 11:38,1/18/2016 12:01,
Bug,,PDFBOX-2953,PDFBox shows page count 0,Unassigned,RuhongCai,Major,Closed,Not A Problem,9/1/2015 21:40,9/2/2015 21:24,
Bug,,PDFBOX-2954,Exception when trying to write Spanish or French characters,Unassigned,Ivan de la Fuente,Major,Closed,Not A Problem,9/2/2015 14:22,9/3/2015 18:37,
Task,,PDFBOX-2955,programatically fill pdf,Unassigned,Tony T,Major,Closed,Invalid,9/2/2015 20:23,9/2/2015 20:49,
Bug,,PDFBOX-2956,PDFontDescriptor doesn't contain method getCIDSet.,Tilman Hausherr,Timur Kamalov,Minor,Closed,Fixed,9/3/2015 8:23,3/17/2016 19:08,
Bug,,PDFBOX-2957,Glyphs rendered as gibberish,Andreas Lehmkühler,Tilman Hausherr,Major,Closed,Fixed,9/4/2015 22:32,3/17/2016 19:07,
Bug,,PDFBOX-2958,TIFF-Predictor with 1 bit per component not supported,Tilman Hausherr,Tilman Hausherr,Major,Closed,Fixed,9/5/2015 11:28,1/18/2016 12:01,
Bug,,PDFBOX-2959,type3 font glyphs overlapped,Tilman Hausherr,Tilman Hausherr,Major,Closed,Fixed,9/5/2015 18:19,3/17/2016 19:06,
Bug,,PDFBOX-2960,ClassCastException when pattern name is indirect object,Tilman Hausherr,Tilman Hausherr,Minor,Closed,Fixed,9/5/2015 18:55,3/17/2016 19:07,
Bug,,PDFBOX-2961,Checkbox with multiple widgets doesn't reflect check() state.,Maruan Sahyoun,Maruan Sahyoun,Major,Closed,Fixed,9/6/2015 16:42,3/17/2016 19:08,
Improvement,,PDFBOX-2962,Handle TIFF predictor for bpc 2 and 4 / optimize existing predictor code,Tilman Hausherr,Tilman Hausherr,Minor,Closed,Fixed,9/7/2015 16:43,1/18/2016 12:01,
Improvement,,PDFBOX-2963,Remove Bouncy Castle Provider Reference,Andreas Lehmkühler,Johnny Minty,Major,Resolved,Fixed,9/8/2015 4:55,6/16/2017 9:38,
